No,USER BEP20 ADDRESS,REFERAL ADDRESS
1,0xd3F4dcbe9cC716dd6B979aeeADF74d6017b08a5D,
2,0x11A6930CF563b668f403C6027EFD6C9b51e0AAaA,
3,0x34cD81e67B2fE88414D0D78d5698C70b33ab6Cb0,
4,0xE5FF1c3474C04D78c35Cd2059e28A224fb3C0A7D,
5,0xCDE5aFD4D23ee56d63983C98cFc9fCe77142F0ce,
6,0xb379c7003c97c215F890CD9A39143a673050a1e5,
7,0xCA765100AEDEd352363b199aD3e00Da44972FA05,
8,0x12381f4A94665F67A38623F7FC47BcF24622a184,
9,0xB0660EEfAc3c1003Cdf3dbbfCe6bE65eAd21565f,
10,0x0E1729cB6110463537D86cecF960773E4Aa2E923,
11,0x1B4254c2A99487104cE4ae99A1E9F950Da2F6d7B,
12,0x925c85Ae2Ce34c9E3e3631B7E320c797841d475d,
13,0xE29b3A1ec2A4f7cA6aC19Ed6ba43CD81D290640a,
14,0x98D2487B811D0e7ACc08015cc133cC7e77d612f1,
15,0xBC5810510797F6Da28C8F29Bf87059A240fE2a8E,
16,0xF76DaB4BA3883727181DB4E9184fF180409bEB3d,
17,0x507519AD1ddD672c7Ec40f0545C0bfc1bcD8Cd0a,
18,0x944b4ADfc2616A75E267441568448948992f4422,
19,0xB57AC30d22BDee8c575723Bd5B241018a3172b01,
20,0x84E6b105eA33d05385318658031C91ffa7ce68F2,
21,0x68EBAc300d91130e08e46A0b61eB63ed57DA485c,
22,0x4E4ce16649Fa13A06a6b46295c3A6b08EEEad832,
23,0x8D452aD75FBd4fe89a7c7Dfa70534d883F0F9496,
24,0xd9Cd635DC41b2eeF064e87ff72456094129319e6,
25,0xfaD03342f8Dc060Ad4a81B047F5Bf60fF3E9BE47,
26,0xdf07B4912BC09fA825b2DDB09bb625b272F4CA74,
27,0x3b2a9C6234429F04E32f3d501cD4A29eA37142dD,
28,0xcfB0B2dE631E753106A61fe3b4d1588f9fE8Fa6A,
29,0x90Eece63796356Bf72C1beB2D261ebB637FE77A3,
30,0x4a2531236270e089DAadfeB90b072E9885c4D72F,
31,0x8EfFA488d870F1f74cbcAF94bCE494226856dAdb,
32,0x73bb71Be8DEC35672a34A1A0EaFaE10614be7130,
33,0xABA749dbb4c434De07e4F6cdb51e7e4a9A1b9550,
34,0x2111a9bF01345fb3360c0e265DCf009760C35Ce1,
35,0x836230c1e50A5DCFCa2aB96cbc889A676Fcbb559,
36,0x4fa890dB2536B1ba3AE15905ccd970708657FE19,
37,0x0F5eE1CEb0Ef99B86c7E2e8321C87cba2Ad92FE9,
38,0x16ad0d978cD3583a53EE301e5a97D096bd740b78,
39,0x0f0dD6fe713d71C0f9E5a1FFe19f289ad697683f,
40,0xBA58BaF2A4FaeEB40F46B1DCCf5a305aBA3C33B9,
41,0x34729C44eAC5d639C8856a85aF5A98C927D2e03b,
42,0xdDCC9D55C9B134F65b3EF7E0ACD67ee2A9087dbf,
43,0x7a0B7cF7C63597056277ECDb89cc6a38E3CC1E07,
44,0xC2cA9DDaea22EAA3EeB17592c5696e2737B19eD1,
45,0x7b52B407a8Bb2Bc239D182c7695D8a2aA779AE65,
46,0x8C21f8c71b0f30d19f83A3e1300956756d3f94a2,
47,0x07Ff61f6dB3c4D7f866402a1b22A56cA3B8f6F33,
48,0x44A92a109cbaF7aF3D2057BEDf27204c0CB7Df13,
49,0xed7ae0BBF2F4ce320ce095c71819d031E29e2422,
50,0x354D4Fc21C364c49923d30CE1a6af1c9e8010062,
51,0x2ea4668Ad9deBebE4b04dD315abBb594f04C2BdD,
52,0x55f6F669FFe7Cdba4beA46c9C1600525DEf878db,
53,0xc7a5498d76fe1C1BCfADc2e1021b918c41e93f5B,
54,0x9904556Afd6F3d6fd7bFC83458eD0409FFB13A92,
55,0xC31a4CF860Efafcf14d6D73C1F3808B450f10468,
56,0x7eAcF644f7F52c4C7900CFeD57a084eE52D788C9,
57,0x5f7265A4Ae4e02db71730bfd46D1BE6bd90dD8D2,
58,0xc865043A7d2BC488978C9e945fE7D8A63d25D521,
59,0xbce6dF162300585c0C0B283819AC1388C70A6AfC,
60,0x10492Ea74fb8C0116F023784dc79Cd813567ABeD,
61,0xFb87675243117ebaad1bdD567E945CfFA56C7744,
62,0x5f7265A4Ae4e02db71730bfd46D1BE6bd90dD8D2,
63,0x6dCcdB6396e2C56a0009E19096f3F5852c4E21a7,
64,0xB189C2B8eeAfeBbe883AbcbEc8c8d594BfEF69d0,
65,0x08EA11362Fb482Aa93bF24ebbaB11C0fb98471D3,
66,0x118Cf82Aca20f577422ADA914D4E8340F44F565E,
67,0xaf91Ba524066116D39777E771EDD8Cd63794C320,
68,0x817a73671e0b5Fc1A842c4C1bDEFECd79EBd1df1,
69,0x24a42A7C26906dB5470bAf668891e685A6B3e57A,
70,0xF9993EEb9AafFe623236c8E6126a09a9Ab394599,
71,0x83b9488f7738b551111B6B639B47513a84a03E4F,
72,0x2604e82ec1C6a44Fd191D1B8130347d4c3c845Ea,
73,0x228dD19baede366814f5783eA7c0FEA986BdBa83,
74,0x5cef83Fd78b7573D78ab15f7AAaB15c5C41aBED4,
75,0x999e3EE9B59Cb3a42d64DDa557C04FDb0642f624,
76,0xa0763b8DAB4974dC380bEf0c7077AC8E893C0D11,
77,0x1D30fD8471FdD82CD5644C7Acf79c077D0882BDB,
78,0xA3C2005217C3697A393D711b8725d9654281f913,
79,0xd19A36a57780952c8a8ea98c619178d4800A9B89,
80,0xA351bb21252e6cc0af895e6E8dB72E8de30592A6,
81,0x8f564F832C4eC4E790400581Cb9EFCecE68817FF,
82,0x4Be2A395B3326baf914e3d749E76db621796DC0c,
83,0xC7404bE3c5eC7896F9608593fCc7ec3d4B486F8E,
84,0xb8EFbC02DBB77D89900362856c4893A423A5fDe1,
85,0xC7824dad9f797AB7772091092e40d80C7925E4D2,
86,0xaAaC94951a4D88E3741Ef19e7aD7ad2F522A566E,
87,0x8FB7716e4F69b9dbDB29423c104b9ef8968d09B9,
88,0x5bCfA791618B2fFd845b97eA551df25f22BF6056,
89,0x7514994D8fB60A1E82762207Ee867c98B3461b08,
90,0x86f43FDd4FB3e5382A955982dFF4C14c5F50e2cE,
91,0x4fbAd0656643f40fb6AC945Abae6Ddd28Ded1C3f,
92,0xDce2d399E14a3359bC75b9BA3e602d5d80Ad6f81,
93,0x1a5b40Bb8de81403a965699a80031cAec01a2CED,
94,0x9b7d972694741e7A280b02b79c0194671e5567F5,
95,0x0b432e8f3b4A0b42c27CA4B7C9c9F9c223A426e9,
96,0x231Ce9B9E747094f27F600E1B10e6AEad9D245Fe,
97,0xb57140C43A1d546dD1B4388597cc8f4396B05F6d,
98,0x0F1DdF1B28063076DA349cC8f7E72184c94706d5,
99,0x5965F9234C0e74C3a534f8Df3c90efcC51C431C2,
100,0x51D9E89f3a6e7ce910BC5c270d4aDEb4C00a5A02,
101,0x87e474EC2ACF71B336e5dcf32Df55C2f804b9975,
102,0x9658A8F0EA1C8F845f29264900d448913d8896bA,
103,0x0de2ea1B150d1d5cF0328FDC3bfFca693dDd44B1,
104,0xe32595629c64298d93993cC97E3C769153dcF9BA,
105,0x36411FA0B664eebf6696681A16A03D59b1615eAf,
106,0x1a5b40Bb8de81403a965699a80031cAec01a2CED,
